,Site,Location,Lat,Long,Depth,Sample,Sub vol cc,Sub dw,Av_Total_gram,Min_Total_gram,Max_Total_gram,Av_Total_NF,Min_Total_NF,Max_Total_NF,Av_Total_F,Min_Total_F,Max_Total_F,Av_Total_fiber,Min_Total_fiber,Max_Total_fiber,Av_Total_fiberbun,Min_Total_fiberbun,Max_Total_fiberbun,Av_Total_film,Min_Total_film,Max_Total_film,Av_Total_foam,Min_Total_foam,Max_Total_foam,Av_Total_fragment,Min_Total_fragment,Max_Total_fragment,Av_Total_pellet,Min_Total_pellet,Max_Total_pellet,Av_Total_sphere,Min_Total_sphere,Max_Total_sphere,Av_Total_TRWP,Min_Total_TRWP,Max_Total_TRWP,Av_Conc_Total,Min_Conc_Total,Max_Conc_Total,Av_Conc_NonFiber,Min_Conc_NonFiber,Max_Conc_NonFiber,Av_Conc_Fiber,Min_Conc_Fiber,Max_Conc_Fiber,Av_Conc_fiber,Min_Conc_fiber,Max_Conc_fiber,Av_Conc_fiberbun,Min_Conc_fiberbun,Max_Conc_fiberbun,Av_Conc_film,Min_Conc_film,Max_Conc_film,Av_Conc_foam,Min_Conc_foam,Max_Conc_foam,Av_Conc_fragment,Min_Conc_fragment,Max_Conc_fragment,Av_Conc_pellet,Min_Conc_pellet,Max_Conc_pellet,Av_Conc_sphere,Min_Conc_sphere,Max_Conc_sphere,Av_Conc_TRWP,Min_Conc_TRWP,Max_Conc_TRWP,Perc_NF,Perc_F,Perc_fiber,Perc_fiberbun,Perc_film,Perc_foam,Perc_fragment,Perc_pellet,Perc_sphere,Perc_TRWP
1,Upper Bay Saltmarsh,UNB-1,-117.8813548,33.6516696,0-5cm,UNB-1-00-05,912.0734624,295.7489409,0.287738606,0.005355644,0.663346089,0.287648807,0.005284054,0.663210566,8.98E-05,7.16E-05,0.000135523,8.98E-05,7.16E-05,0.000135523,0,0,0,0.00010174,1.63E-06,0.000373609,0.013245924,0.000167043,0.037430127,0.272912109,0.005089931,0.621859971,0,0,0,0,0,0,0.001389035,2.54E-05,0.003546859,0.000972915,1.81E-05,0.002242936,0.000972611,1.79E-05,0.002242478,3.04E-07,2.42E-07,4.58E-07,3.04E-07,2.42E-07,4.58E-07,0,0,0,3.44E-07,5.53E-09,1.26E-06,4.48E-05,5.65E-07,0.00012656,0.000922783,1.72E-05,0.002102662,0,0,0,0,0,0,4.70E-06,8.60E-08,1.20E-05,0.999687918,0.000312082,0.000312082,0,0.000353584,0.046034573,0.94847234,0,0,0.004827421
2,Upper Bay Saltmarsh,UNB-1,-117.8813548,33.6516696,05-10cm,UNB-1-05-10,912.0734624,802.9438726,0.023560705,0.00472362,0.053995437,0.02339492,0.004591862,0.053744386,0.000165785,0.000131758,0.00025105,0.000165785,0.000131758,0.00025105,0,0,0,0.000403534,4.13E-05,0.000858324,0.003301659,5.14E-05,0.010304624,0.019052262,0.004485676,0.040956801,0,0,0,0,0,0,0.000637465,1.35E-05,0.001624638,2.93E-05,5.88E-06,6.72E-05,2.91E-05,5.72E-06,6.69E-05,2.06E-07,1.64E-07,3.13E-07,2.06E-07,1.64E-07,3.13E-07,0,0,0,5.03E-07,5.15E-08,1.07E-06,4.11E-06,6.40E-08,1.28E-05,2.37E-05,5.59E-06,5.10E-05,0,0,0,0,0,0,7.94E-07,1.68E-08,2.02E-06,0.992963497,0.007036503,0.007036503,0,0.017127421,0.140134149,0.808645657,0,0,0.02705627
3,Upper Bay Saltmarsh,UNB-1,-117.8813548,33.6516696,10-15cm,UNB-1-10-15,912.0734624,639.5741861,0.003083898,0.001238348,0.007365459,0.002896698,0.001089652,0.007081986,0.0001872,0.000148696,0.000283474,0.00017898,0.000142161,0.000271033,8.22E-06,6.53E-06,1.24E-05,0.0001,9.49E-05,0.000115659,0.001225137,7.51E-05,0.00413029,0.001465277,0.00091618,0.002567357,0,0,0,0,0,0,0.000106284,3.52E-06,0.000268679,4.82E-06,1.94E-06,1.15E-05,4.53E-06,1.70E-06,1.11E-05,2.93E-07,2.32E-07,4.43E-07,2.80E-07,2.22E-07,4.24E-07,1.29E-08,1.02E-08,1.95E-08,1.56E-07,1.48E-07,1.81E-07,1.92E-06,1.17E-07,6.46E-06,2.29E-06,1.43E-06,4.01E-06,0,0,0,0,0,0,1.66E-07,5.50E-09,4.20E-07,0.939297609,0.060702391,0.058037085,0.002665306,0.032426493,0.397268942,0.47513804,0,0,0.034464135
4,Upper Bay Saltmarsh,UNB-1,-117.8813548,33.6516696,15-20cm,UNB-1-15-20,912.0734624,668.0500317,0.919521537,0.667330683,1.282496126,0.919433539,0.667260732,1.28236289,8.80E-05,7.00E-05,0.000133236,8.39E-05,6.67E-05,0.000127015,4.11E-06,3.27E-06,6.22E-06,1.39E-05,1.32E-05,1.61E-05,0.006283307,0.00081795,0.015023589,0.622959087,0.532953494,0.781540373,0.286065018,0.133190296,0.475646357,0.000270438,0.000161001,0.000420784,0.00384178,0.000124791,0.009715698,0.001376426,0.000998923,0.001919761,0.001376294,0.000998819,0.001919561,1.32E-07,1.05E-07,1.99E-07,1.26E-07,9.98E-08,1.90E-07,6.15E-09,4.89E-09,9.31E-09,2.08E-08,1.98E-08,2.41E-08,9.41E-06,1.22E-06,2.25E-05,0.000932504,0.000797775,0.001169883,0.000428209,0.000199372,0.000711992,4.04818E-07,2.41001E-07,6.29869E-07,5.75E-06,1.87E-07,1.45E-05,0.999904301,9.57E-05,9.12E-05,4.47E-06,1.51E-05,0.006833235,0.67748178,0.311102031,0.000294108,0.004178021
5,Upper Bay Saltmarsh,UNB-1,-117.8813548,33.6516696,20-25cm,UNB-1-20-25,912.0734624,996.133801,0.004547102,0.001060992,0.010462205,0.004514742,0.001035213,0.01041331,3.24E-05,2.58E-05,4.89E-05,3.24E-05,2.58E-05,4.89E-05,0,0,0,0.000200958,3.50E-06,0.000450212,0.000802354,6.61E-05,0.002658307,0.00351143,0.000965651,0.00730479,0,0,0,0,0,0,0,0,0,4.56E-06,1.07E-06,1.05E-05,4.53E-06,1.04E-06,1.05E-05,3.25E-08,2.59E-08,4.91E-08,3.25E-08,2.59E-08,4.91E-08,0,0,0,2.02E-07,3.51E-09,4.52E-07,8.05E-07,6.63E-08,2.67E-06,3.53E-06,9.69E-07,7.33E-06,0,0,0,0,0,0,0,0,0,0.992883421,0.007116579,0.007116579,0,0.044194637,0.176453922,0.772234863,0,0,0
6,Upper Bay Saltmarsh,UNB-1,-117.8813548,33.6516696,25-30cm,UNB-1-25-30,912.0734624,1588.557437,0.025520964,0.000912446,0.061581763,0.025494573,0.000891551,0.061541709,2.64E-05,2.09E-05,4.01E-05,2.64E-05,2.09E-05,4.01E-05,0,0,0,1.91E-05,1.81E-05,2.20E-05,0,0,0,0.012642116,0.000575386,0.028858979,0,0,0,0,0,0,0.012833405,0.000298086,0.032660695,1.61E-05,5.74E-07,3.88E-05,1.60E-05,5.61E-07,3.87E-05,1.66E-08,1.32E-08,2.52E-08,1.66E-08,1.32E-08,2.52E-08,0,0,0,1.20E-08,1.14E-08,1.39E-08,0,0,0,7.96E-06,3.62E-07,1.82E-05,0,0,0,0,0,0,8.08E-06,1.88E-07,2.06E-05,0.99896593,0.00103407,0.00103407,0,0.000746511,0,0.495362026,0,0,0.502857392
7,Upper Bay Saltmarsh,UNB-1,-117.8813548,33.6516696,30-35cm,UNB-1-30-35,912.0734624,1257.389948,0.003867897,0.000744566,0.009403546,0.003825798,0.000711113,0.009339799,4.21E-05,3.35E-05,6.37E-05,4.21E-05,3.35E-05,6.37E-05,0,0,0,0.000643774,0.000449745,0.001069432,0,0,0,0.001677365,0.000213216,0.004463898,0,0,0,0,0,0,0.001504659,4.82E-05,0.003806469,3.08E-06,5.92E-07,7.48E-06,3.04E-06,5.66E-07,7.43E-06,3.35E-08,2.66E-08,5.07E-08,3.35E-08,2.66E-08,5.07E-08,0,0,0,5.12E-07,3.58E-07,8.51E-07,0,0,0,1.33E-06,1.70E-07,3.55E-06,0,0,0,0,0,0,1.20E-06,3.83E-08,3.03E-06,0.989115872,0.010884128,0.010884128,0,0.166440231,0,0.433663392,0,0,0.389012249
8,Upper Bay Saltmarsh,UNB-1,-117.8813548,33.6516696,35-40cm,UNB-1-35-40,912.0734624,1306.340018,0.004086274,0.000261885,0.010091199,0.004061361,0.000242055,0.010053551,2.49E-05,1.98E-05,3.76E-05,2.49E-05,1.98E-05,3.76E-05,0,0,0,4.83E-05,8.61E-07,0.000105591,6.55E-05,4.53E-07,0.00023077,0.000423165,0.000151832,0.000759887,0,0,0,0,0,0,0.003524396,8.89E-05,0.008957304,3.13E-06,2.00E-07,7.72E-06,3.11E-06,1.85E-07,7.70E-06,1.91E-08,1.52E-08,2.88E-08,1.91E-08,1.52E-08,2.88E-08,0,0,0,3.69E-08,6.59E-10,8.08E-08,5.02E-08,3.47E-10,1.77E-07,3.24E-07,1.16E-07,5.82E-07,0,0,0,0,0,0,2.70E-06,6.81E-08,6.86E-06,0.993903276,0.006096724,0.006096724,0,0.011811345,0.01603821,0.103557569,0,0,0.862496152
9,Upper Bay Saltmarsh,UNB-1,-117.8813548,33.6516696,40-45cm,UNB-1-40-45,912.0734624,924.7895906,0.000107752,3.46E-05,0.000229606,7.17E-05,5.97E-06,0.000174994,3.61E-05,2.87E-05,5.46E-05,3.61E-05,2.87E-05,5.46E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.17E-05,5.97E-06,0.000174994,1.17E-07,3.75E-08,2.48E-07,7.75E-08,6.46E-09,1.89E-07,3.90E-08,3.10E-08,5.91E-08,3.90E-08,3.10E-08,5.91E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.75E-08,6.46E-09,1.89E-07,0.665306048,0.334693952,0.334693952,0,0,0,0,0,0,0.665306048
10,Upper Bay Saltmarsh,UNB-2,-117.8819151,33.6502887,0-5cm,UNB-2-00-05,912.0734624,211.7524475,0.869370546,0.585188906,1.257920248,0.869230923,0.585077906,1.257708868,0.000139622,0.000111001,0.00021138,0.000135513,0.000107733,0.000205159,4.11E-06,3.27E-06,6.22E-06,0.00652373,0.00101763,0.021237427,0.208507995,0.178374527,0.245141449,0.654143883,0.405684931,0.991188407,0,0,0,0,0,0,5.53E-05,8.18E-07,0.000141585,0.004105599,0.002763552,0.005940523,0.004104939,0.002763028,0.005939525,6.59E-07,5.24E-07,9.98E-07,6.40E-07,5.09E-07,9.69E-07,1.94E-08,1.54E-08,2.94E-08,3.08E-05,4.81E-06,0.000100294,0.000984678,0.000842373,0.001157679,0.003089192,0.001915845,0.004680883,0,0,0,0,0,0,2.61E-07,3.86E-09,6.69E-07,0.999839398,0.000160602,0.000155874,4.73E-06,0.007503969,0.239837887,0.752433915,0,0,6.36E-05
11,Upper Bay Saltmarsh,UNB-2,-117.8819151,33.6502887,05-10cm,UNB-2-05-10,912.0734624,356.6207238,1.134292196,0.713408201,1.776454663,1.13408273,0.713241681,1.77613754,0.000209465,0.00016652,0.000317123,0.000209465,0.00016652,0.000317123,0,0,0,0.002087872,0.000621101,0.003956506,0.838482965,0.592481996,1.248838244,0.292608192,0.120110609,0.52105498,0,0,0,0,0,0,0.000903701,2.80E-05,0.00228781,0.003180668,0.002000468,0.004981356,0.003180081,0.002000001,0.004980466,5.87E-07,4.67E-07,8.89E-07,5.87E-07,4.67E-07,8.89E-07,0,0,0,5.85E-06,1.74E-06,1.11E-05,0.00235119,0.001661378,0.003501867,0.000820502,0.000336802,0.00146109,0,0,0,0,0,0,2.53E-06,7.84E-08,6.42E-06,0.999815334,0.000184666,0.000184666,0,0.001840683,0.739212496,0.257965446,0,0,0.000796709
12,Upper Bay Saltmarsh,UNB-2,-117.8819151,33.6502887,10-15cm,UNB-2-10-15,912.0734624,575.8576461,0.156398221,0.122165534,0.210081737,0.156257887,0.122053785,0.209869709,0.000140334,0.00011175,0.000212029,0.000140334,0.00011175,0.000212029,0,0,0,0.000836797,0.000442387,0.001369845,0.07309919,0.062777325,0.08473977,0.03077083,0.00829705,0.071194976,0.05155107,0.050537024,0.052565117,0,0,0,0,0,0,0.000271592,0.000212145,0.000364815,0.000271348,0.000211951,0.000364447,2.44E-07,1.94E-07,3.68E-07,2.44E-07,1.94E-07,3.68E-07,0,0,0,1.45E-06,7.68E-07,2.38E-06,0.00012694,0.000109015,0.000147154,5.34E-05,1.44E-05,0.000123633,8.95E-05,8.78E-05,9.13E-05,0,0,0,0,0,0,0.999102714,0.000897286,0.000897286,0,0.005350423,0.467391444,0.196746675,0.329614172,0,0
13,Upper Bay Saltmarsh,UNB-2,-117.8819151,33.6502887,15-20cm,UNB-2-15-20,912.0734624,669.0387193,0.042397073,0.002164316,0.135905457,0.042340981,0.002119795,0.135820481,5.61E-05,4.45E-05,8.50E-05,5.61E-05,4.45E-05,8.50E-05,0,0,0,0,0,0,0.029441911,0.000217636,0.103600956,0.01289907,0.001902159,0.032219524,0,0,0,0,0,0,0,0,0,6.34E-05,3.23E-06,0.000203135,6.33E-05,3.17E-06,0.000203008,8.38E-08,6.65E-08,1.27E-07,8.38E-08,6.65E-08,1.27E-07,0,0,0,0,0,0,4.40E-05,3.25E-07,0.00015485,1.93E-05,2.84E-06,4.82E-05,0,0,0,0,0,0,0,0,0,0.998676989,0.001323011,0.001323011,0,0,0.694432632,0.304244357,0,0,0
14,Upper Bay Saltmarsh,UNB-2,-117.8819151,33.6502887,20-25cm,UNB-2-20-25,912.0734624,717.6704763,0.063043492,0.009791774,0.138450352,0.063011101,0.009766053,0.13840133,3.24E-05,2.57E-05,4.90E-05,3.24E-05,2.57E-05,4.90E-05,0,0,0,5.77E-05,9.27E-07,0.000211898,0.043658959,0.001626389,0.101012714,0.019294439,0.008138736,0.037176718,0,0,0,0,0,0,0,0,0,8.78E-05,1.36E-05,0.000192916,8.78E-05,1.36E-05,0.000192848,4.51E-08,3.58E-08,6.83E-08,4.51E-08,3.58E-08,6.83E-08,0,0,0,8.04E-08,1.29E-09,2.95E-07,6.08E-05,2.27E-06,0.000140751,2.69E-05,1.13E-05,5.18E-05,0,0,0,0,0,0,0,0,0,0.999486217,0.000513783,0.000513783,0,0.000915292,0.692521275,0.306049649,0,0,0
15,Upper Bay Saltmarsh,UNB-2,-117.8819151,33.6502887,25-30cm,UNB-2-25-30,912.0734624,1128.659899,0.277109598,0.030321542,0.620536305,0.276994121,0.03022991,0.620361188,0.000115477,9.16E-05,0.000175117,0.000115477,9.16E-05,0.000175117,0,0,0,0.186803525,0.003253179,0.418236589,0.002905159,0.000259056,0.008285562,0.070086351,0.026401337,0.14992389,0,0,0,0,0,0,0.017199086,0.000316337,0.043915147,0.000245521,2.69E-05,0.000549799,0.000245419,2.68E-05,0.000549644,1.02E-07,8.12E-08,1.55E-07,1.02E-07,8.12E-08,1.55E-07,0,0,0,0.000165509,2.88E-06,0.00037056,2.57E-06,2.30E-07,7.34E-06,6.21E-05,2.34E-05,0.000132834,0,0,0,0,0,0,1.52E-05,2.80E-07,3.89E-05,0.999583281,0.000416719,0.000416719,0,0.674114236,0.010483792,0.252919246,0,0,0.062066007
