Intertidal Spikes Samples,,,,,,,,Subtidal Spikes Samples,,,,,
Row Labels,1000um,250um,500um,Grand Total,Recovery,,,Row Labels,250um,500um,Grand Total,Recovery,
UNB-2-10-15,,,31,31,103%,out of 30,,SUB-3-3-S1,43,28,71,118%,out of 60
UNB-2-00-05,,25,20,45,75%,out of 60,,SUB-3-6-S1,29,28,57,95%,out of 60
UNB-2-05-10,1,30,28,59,98%,out of 60,,SUB-3-7-S1,18,32,50,83%,out of 60
UNB-2-15-20,,,29,29,97%,out of 30,,SUB-3-9-S1,25,27,52,87%,out of 60
UNB-2-20-25,,,30,30,100%,out of 30,,SUB-4-1-S1,27,31,58,97%,out of 60
UNB-2-25-30,,,27,27,90%,out of 30,,SUB-4-10-S1,19,28,47,78%,out of 60
UNB-2-30-35,,,27,27,90%,out of 30,,SUB-4-10-S2,,30,30,100%,out of 30
UNB-2-35-40,,,27,27,90%,out of 30,,SUB-4-11-S1,21,27,48,80%,out of 60
UNB-2-40-45,,,28,28,93%,out of 30,,SUB-4-2-S1,31,28,59,98%,out of 60
UNB-2-45-50,,,30,30,100%,out of 30,,SUB-4-4-S1,23,28,51,85%,out of 60
UNB-2-50-55,,,29,29,97%,out of 30,,SUB-4-5-S1,25,30,55,92%,out of 60
UNB-2-60-65,,28,29,57,95%,out of 60,,SUB-4-7-S1,26,29,55,92%,out of 60
,,,,,,,,SUB-4-7-S2,,28,28,93%,out of 30
,,,N=12,Average,94%,,,SUB-4-9-S1,24,30,54,90%,out of 60
,,,,,,,,SUB-4-9-S2,,30,30,100%,out of 30
,,,N=11,Average,93%,,,,,,,,
,,,,,,,,,,N=15,Average,93%,
,,,,,,,,,,,,,
,,,,,,,,,,N=14,Average,91%,