Sample ID,Top,Bottom,width,plot,Wet mass (g),Dry mass (g),Dry BD (g/mL),Dry BD (kg/m3),Water content (g),Organic matter (g),% OM LOI
UNB-1-1-0-1,0,1,1,0.5,1.46281,0.31409,0.31409,314.09,1.14872,0.14206,45.22907447
UNB-1-1-1-2,1,2,1,1.5,2.07699,0.41291,0.41291,412.91,1.66408,0.22416,54.28785934
UNB-1-1-2-3,2,3,1,2.5,1.41421,0.25802,0.25802,258.02,1.15619,0.13113,50.82164173
UNB-1-1-3-4,3,4,1,3.5,1.25873,0.25157,0.25157,251.57,1.00716,0.09745,38.73673331
UNB-1-1-4-5,4,5,1,4.5,1.70827,0.38471,0.38471,384.71,1.32356,0.13626,35.41888695
UNB-1-1-5-6,5,6,1,5.5,1.40266,0.75591,0.75591,755.91,0.64675,0.06554,8.670344353
UNB-1-1-6-7,6,7,1,6.5,2.10196,1.22115,1.22115,1221.15,0.88081,0.09482,7.764811858
UNB-1-1-7-8,7,8,1,7.5,1.56397,0.86769,0.86769,867.69,0.69628,0.069952,8.061865413
UNB-1-1-8-9,8,9,1,8.5,2.09434,0.60635,0.60635,606.35,1.48799,0.16785,27.68203183
UNB-1-1-9-10,9,10,1,9.5,2.35745,0.95065,0.95065,950.65,1.4068,0.15247,16.03849997
UNB-1-1-10-11,10,11,1,10.5,1.74709,0.760695,0.760695,760.695,0.986395,0.09274,12.18364687
UNB-1-1-11-12,11,12,1,11.5,1.73277,0.48572,0.48572,485.72,1.24705,0.11952,24.60676933
UNB-1-1-12-13,12,13,1,12.5,1.16241,0.30122,0.30122,301.22,0.86119,0.08707,28.90578315
UNB-1-1-13-14,13,14,1,13.5,1.70465,0.63729,0.63729,637.29,1.06736,0.09695,15.21285443
UNB-1-1-14-15,14,15,1,14.5,2.20181,1.32123,1.32123,1321.23,0.88058,0.08621,6.524980511
UNB-1-1-15-16,15,16,1,15.5,1.78602,1.17675,1.17675,1176.75,0.60927,0.05579,4.741024007
UNB-1-1-16-17,16,17,1,16.5,1.46621,0.56384,0.56384,563.84,0.90237,0.08863,15.7189983
UNB-1-1-17-18,17,18,1,17.5,1.81875,0.71965,0.71965,719.65,1.0991,0.10289,14.29722782
UNB-1-1-18-19,18,19,1,18.5,1.84108,0.63865,0.63865,638.65,1.20243,0.14171,22.18899241
UNB-1-1-19-20,19,20,1,19.5,1.4941,0.56337,0.56337,563.37,0.93073,0.10716,19.02124714
UNB-1-1-20-21,20,21,1,20.5,2.19121,1.12356,1.12356,1123.56,1.06765,0.10183,9.063156396
UNB-1-1-21-22,21,22,1,21.5,1.96211,1.11761,1.11761,1117.61,0.8445,0.07922,7.088340298
UNB-1-1-22-23,22,23,1,22.5,1.57155,0.74484,0.74484,744.84,0.82671,0.0646,8.673003598
UNB-1-1-23-24,23,24,1,23.5,1.95216,1.11962,1.11962,1119.62,0.83254,0.06664,5.952019435
UNB-1-1-24-25,24,25,1,24.5,2.07945,1.35519,1.35519,1355.19,0.72426,0.07655,5.648654432
UNB-1-1-25-26,25,26,1,25.5,2.46841,1.76962,1.76962,1769.62,0.69879,0.05239,2.960522598
UNB-1-1-26-27,26,27,1,26.5,2.08611,1.33278,1.33278,1332.78,0.75333,0.0831,6.235087561
UNB-1-1-27-28,27,28,1,27.5,2.48837,1.75093,1.75093,1750.93,0.73744,0.06687,3.819113271
UNB-1-1-28-29,28,29,1,28.5,2.4591,1.9204,1.9204,1920.4,0.5387,0.03083,1.605394709
UNB-1-1-29-30,29,30,1,29.5,2.54342,1.934765,1.934765,1934.765,0.608655,0.057145,2.956208594
UNB-1-1-30-31,30,31,1,30.5,2.39076,1.65674,1.65674,1656.74,0.73402,0.07558,4.5619711
UNB-1-1-31-32,31,32,1,31.5,2.50317,1.58157,1.58157,1581.57,0.9216,0.08924,5.642494483
UNB-1-1-32-33,32,33,1,32.5,2.20926,1.12457,1.12457,1124.57,1.08469,0.08507,7.564669162
UNB-1-1-33-34,33,34,1,33.5,2.49824,1.37695,1.37695,1376.95,1.12129,0.12567,9.126693053
UNB-1-1-34-35,34,35,1,34.5,2.18969,1.1532,1.1532,1153.2,1.03649,0.11885,10.30610475
UNB-1-1-35-36,35,36,1,35.5,2.93642,1.74444,1.74444,1744.44,1.19198,0.15446,8.854417463
UNB-1-1-36-37,36,37,1,36.5,2.40167,1.36348,1.36348,1363.48,1.03819,0.11369,8.338222783
UNB-1-1-37-38,37,38,1,37.5,2.63657,1.57498,1.57498,1574.98,1.06159,0.1576,10.00647627
UNB-1-1-38-39,38,39,1,38.5,2.5199,1.31897,1.31897,1318.97,1.20093,0.12655,9.594607914
UNB-1-1-39-40,39,40,1,39.5,2.178165,1.159505,1.159505,1159.505,1.01866,0.11384,9.828653337
UNB-1-1-40-41,40,41,1,40.5,2.2343519,1.24479,1.24479,1244.79,0.9895619,0.27439,22.04307554
UNB-1-1-41-42,41,42,1,41.5,1.70239,0.88908,0.88908,889.08,0.81331,0.09296,10.45575201
UNB-1-1-42-43,42,43,1,42.5,1.68086,0.92753,0.92753,927.53,0.75333,0.10264,11.06594935
UNB-1-1-43-44,43,44,1,43.5,1.90359,0.95379,0.95379,953.79,0.9498,0.10309,10.80845889
UNB-1-1-44-45,44,45,1,44.5,1.90606,1.05452,1.05452,1054.52,0.85154,0.21697,20.57523802
UNB-1-1-45-46,45,46,1,45.5,1.78675,0.95522,0.95522,955.22,0.83153,0.07218,7.556374448
UNB-1-1-46-47,46,47,1,46.5,1.77604,0.92373,0.92373,923.73,0.85231,0.14488,15.68423674
UNB-1-1-47-48,47,48,1,47.5,1.80907,0.86842,0.86842,868.42,0.94065,0.0895,10.3060731
UNB-1-1-48-49,48,49,1,48.5,1.62459,0.73948,0.73948,739.48,0.88511,0.06926,9.366041002
UNB-1-1-49-50,49,50,1,49.5,1.53596,0.762,0.762,762,0.77396,0.0585,7.677165354
UNB-1-1-60,60,60,1,60,1.73419,0.83187,0.83187,831.87,0.90232,0.08279,9.914472825
UNB-1-1-70-72,70,72,2,71,1.71168,0.79761,0.79761,797.61,0.91407,0.06334,7.941224408
UNB-1-1-80-82,80,82,2,81,2.09283,0.97831,0.97831,978.31,1.11452,0.06338,6.478519079
UNB-1-1-93-95,93,95,2,94,1.46493,0.53153,0.53153,531.53,0.9334,0.07752,14.58431321
UNB-1-1-96-97,96,97,1,96.5,1.37233,0.61204,0.61204,612.04,0.76029,0.0503,8.218417097
UNB-1-1-100,100,100,1,100,1.39728,0.63224,0.63224,632.24,0.76504,0.05823,9.210110085
UNB-1-1-110,110,110,1,110,1.49342,0.89145,0.89145,891.45,0.60197,0.03832,4.298614617
UNB-1-1-120,120,120,1,120,1.73922,1.02101,1.02101,1021.01,0.71821,0.04726,4.628749963
UNB-1-1-130,130,130,1,130,1.68471,0.97761,0.97761,977.61,0.7071,0.05016,5.130880412
UNB-1-1-140,140,140,1,140,1.63132,0.95289,0.95289,952.89,0.67843,0.05478,5.748827252
UNB-1-1-149,149,149,1,149,2.38237,1.68502,1.68502,1685.02,0.69735,0.0539,3.198775089
UNB-1-1-160,160,160,1,160,1.80996,1.27875,1.27875,1278.75,0.53121,0.04266,3.336070381