Avg. Horizon Density (g/cm3),,depth,min,max,median,mean,Conc_Total [n/g dw],Av_Conc_Total [mg/g dw],group,Min_Conc_Total [mg/g dw],Max_Conc_Total [mg/g dw],Sample_Years_Min,Sample_Years_Max,Sample_Years_Median,Sample_Years_Mean,Lower_n/g/yr,Upper_n/g/yr,Median_n/g/yr,Mean_n/g/yr,label
NA,NA,0,2021.7,2021.7,2021.7,2021.7,0.476755723,2.74E-01,1,5.34E-03,5.49E-01,15.3,8.5,11.7,11.7,0.031160505,0.056088909,0.040748352,0.040748352,0
0.31409,0-1,1,2017.5,2019.8,2018.7,2018.7,0.476755723,2.74E-01,1,5.34E-03,5.49E-01,15.3,8.5,11.7,11.7,0.031160505,0.056088909,0.040748352,0.040748352,
0.41291,2-Jan,2,2013.1,2017.2,2015.1,2015.1,0.476755723,2.74E-01,1,5.34E-03,5.49E-01,15.3,8.5,11.7,11.7,0.031160505,0.056088909,0.040748352,0.040748352,
0.25802,3-Feb,3,2010.6,2015.7,2013.2,2013.2,0.476755723,2.74E-01,1,5.34E-03,5.49E-01,15.3,8.5,11.7,11.7,0.031160505,0.056088909,0.040748352,0.040748352,
0.25157,4-Mar,4,2008.6,2014.5,2011.7,2011.7,0.476755723,2.74E-01,1,5.34E-03,5.49E-01,15.3,8.5,11.7,11.7,0.031160505,0.056088909,0.040748352,0.040748352,
0.38471,5-Apr,5,2006.4,2013.2,2010,2010,0.476755723,2.74E-01,1,5.34E-03,5.49E-01,15.3,8.5,11.7,11.7,0.031160505,0.056088909,0.040748352,0.040748352,5
NA,NA,5,2006.4,2013.2,2010,2010,0.327544688,2.55E-02,2,1.06E-03,5.06E-02,9.7,6.4,7.9,8,0.033767494,0.051178858,0.041461353,0.040943086,
0.75591,6-May,6,2004.8,2012.1,2008.6,2008.6,0.327544688,2.55E-02,2,1.06E-03,5.06E-02,9.7,6.4,7.9,8,0.033767494,0.051178858,0.041461353,0.040943086,
1.22115,7-Jun,7,2003,2011,2007.2,2007.2,0.327544688,2.55E-02,2,1.06E-03,5.06E-02,9.7,6.4,7.9,8,0.033767494,0.051178858,0.041461353,0.040943086,
0.86769,8-Jul,8,2001,2009.8,2005.6,2005.6,0.327544688,2.55E-02,2,1.06E-03,5.06E-02,9.7,6.4,7.9,8,0.033767494,0.051178858,0.041461353,0.040943086,
0.60635,9-Aug,9,1998.9,2008.4,2003.9,2003.9,0.327544688,2.55E-02,2,1.06E-03,5.06E-02,9.7,6.4,7.9,8,0.033767494,0.051178858,0.041461353,0.040943086,
0.95065,10-Sep,10,1996.7,2006.8,2002.1,2002,0.327544688,2.55E-02,2,1.06E-03,5.06E-02,9.7,6.4,7.9,8,0.033767494,0.051178858,0.041461353,0.040943086,10
NA,NA,10,1996.7,2006.8,2002.1,2002,0.333034079,5.12E-03,3,3.29E-04,1.00E-02,7.3,5.4,6.4,6.4,0.045621107,0.061672978,0.052036575,0.052036575,
0.760695,11-Oct,11,1994.7,2005.4,2000.4,2000.4,0.333034079,5.12E-03,3,3.29E-04,1.00E-02,7.3,5.4,6.4,6.4,0.045621107,0.061672978,0.052036575,0.052036575,
0.48572,12-Nov,12,1993.4,2004.6,1999.3,1999.3,0.333034079,5.12E-03,3,3.29E-04,1.00E-02,7.3,5.4,6.4,6.4,0.045621107,0.061672978,0.052036575,0.052036575,
0.30122,13-Dec,13,1992.3,2003.7,1998.3,1998.3,0.333034079,5.12E-03,3,3.29E-04,1.00E-02,7.3,5.4,6.4,6.4,0.045621107,0.061672978,0.052036575,0.052036575,
0.63729,13-14,14,1990.9,2002.7,1997,1997,0.333034079,5.12E-03,3,3.29E-04,1.00E-02,7.3,5.4,6.4,6.4,0.045621107,0.061672978,0.052036575,0.052036575,
1.32123,14-15,15,1989.4,2001.4,1995.7,1995.6,0.333034079,5.12E-03,3,3.29E-04,1.00E-02,7.3,5.4,6.4,6.4,0.045621107,0.061672978,0.052036575,0.052036575,15
NA,NA,15,1989.4,2001.4,1995.7,1995.6,0.30536635,9.08E-02,4,2.79E-02,1.65E-01,6.1,4.9,5.6,5.5,0.050060057,0.062319663,0.054529705,0.055521155,
1.17675,15-16,16,1988.1,2000.3,1994.6,1994.5,0.30536635,9.08E-02,4,2.79E-02,1.65E-01,6.1,4.9,5.6,5.5,0.050060057,0.062319663,0.054529705,0.055521155,
0.56384,16-17,17,1987,1999.4,1993.6,1993.5,0.30536635,9.08E-02,4,2.79E-02,1.65E-01,6.1,4.9,5.6,5.5,0.050060057,0.062319663,0.054529705,0.055521155,
0.71965,17-18,18,1985.7,1998.5,1992.4,1992.3,0.30536635,9.08E-02,4,2.79E-02,1.65E-01,6.1,4.9,5.6,5.5,0.050060057,0.062319663,0.054529705,0.055521155,
0.63865,18-19,19,1984.6,1997.6,1991.3,1991.2,0.30536635,9.08E-02,4,2.79E-02,1.65E-01,6.1,4.9,5.6,5.5,0.050060057,0.062319663,0.054529705,0.055521155,
0.56337,19-20,20,1983.3,1996.5,1990.1,1990.1,0.30536635,9.08E-02,4,2.79E-02,1.65E-01,6.1,4.9,5.6,5.5,0.050060057,0.062319663,0.054529705,0.055521155,20
NA,NA,20,1983.3,1996.5,1990.1,1990.1,0.074287209,4.70E-03,5,1.20E-04,1.04E-02,6.5,6.7,6.8,6.8,0.011428801,0.011087643,0.01092459,0.01092459,
1.12356,20-21,21,1982.1,1995.3,1988.8,1988.8,0.074287209,4.70E-03,5,1.20E-04,1.04E-02,6.5,6.7,6.8,6.8,0.011428801,0.011087643,0.01092459,0.01092459,
1.11761,21-22,22,1980.8,1993.9,1987.4,1987.4,0.074287209,4.70E-03,5,1.20E-04,1.04E-02,6.5,6.7,6.8,6.8,0.011428801,0.011087643,0.01092459,0.01092459,
0.74484,22-23,23,1979.2,1992.5,1986,1986,0.074287209,4.70E-03,5,1.20E-04,1.04E-02,6.5,6.7,6.8,6.8,0.011428801,0.011087643,0.01092459,0.01092459,
1.11962,23-24,24,1978,1991.1,1984.7,1984.7,0.074287209,4.70E-03,5,1.20E-04,1.04E-02,6.5,6.7,6.8,6.8,0.011428801,0.011087643,0.01092459,0.01092459,
1.35519,24-25,25,1976.8,1989.8,1983.3,1983.3,0.074287209,4.70E-03,5,1.20E-04,1.04E-02,6.5,6.7,6.8,6.8,0.011428801,0.011087643,0.01092459,0.01092459,25
NA,NA,25,1976.8,1989.8,1983.3,1983.3,0.073022226,1.60E-02,6,3.49E-04,3.02E-02,6.1,7.2,6.7,6.7,0.011970857,0.010141976,0.01089884,0.01089884,
1.76962,25-26,26,1975.4,1988.3,1981.9,1981.9,0.073022226,1.60E-02,6,3.49E-04,3.02E-02,6.1,7.2,6.7,6.7,0.011970857,0.010141976,0.01089884,0.01089884,
1.33278,26-27,27,1974.2,1986.8,1980.6,1980.5,0.073022226,1.60E-02,6,3.49E-04,3.02E-02,6.1,7.2,6.7,6.7,0.011970857,0.010141976,0.01089884,0.01089884,
1.75093,27-28,28,1972.9,1985.5,1979.2,1979.2,0.073022226,1.60E-02,6,3.49E-04,3.02E-02,6.1,7.2,6.7,6.7,0.011970857,0.010141976,0.01089884,0.01089884,
1.9204,28-29,29,1971.8,1984.1,1977.9,1977.9,0.073022226,1.60E-02,6,3.49E-04,3.02E-02,6.1,7.2,6.7,6.7,0.011970857,0.010141976,0.01089884,0.01089884,
1.934765,29-30,30,1970.7,1982.6,1976.6,1976.6,0.073022226,1.60E-02,6,3.49E-04,3.02E-02,6.1,7.2,6.7,6.7,0.011970857,0.010141976,0.01089884,0.01089884,30
NA,NA,30,1970.7,1982.6,1976.6,1976.6,0.058056771,5.30E-03,7,1.42E-04,9.35E-03,5.6,7.7,6.8,6.7,0.010367281,0.00753984,0.00853776,0.00866519,
1.65674,30-31,31,1969.5,1981.2,1975.3,1975.3,0.058056771,5.30E-03,7,1.42E-04,9.35E-03,5.6,7.7,6.8,6.7,0.010367281,0.00753984,0.00853776,0.00866519,
1.58157,31-32,32,1968.3,1979.9,1974.1,1974.1,0.058056771,5.30E-03,7,1.42E-04,9.35E-03,5.6,7.7,6.8,6.7,0.010367281,0.00753984,0.00853776,0.00866519,
1.12457,32-33,33,1967.3,1978.4,1972.7,1972.7,0.058056771,5.30E-03,7,1.42E-04,9.35E-03,5.6,7.7,6.8,6.7,0.010367281,0.00753984,0.00853776,0.00866519,
1.37695,33-34,34,1966.1,1976.6,1971.3,1971.3,0.058056771,5.30E-03,7,1.42E-04,9.35E-03,5.6,7.7,6.8,6.7,0.010367281,0.00753984,0.00853776,0.00866519,
1.1532,34-35,35,1965.1,1974.9,1969.8,1969.9,0.058056771,5.30E-03,7,1.42E-04,9.35E-03,5.6,7.7,6.8,6.7,0.010367281,0.00753984,0.00853776,0.00866519,35
NA,NA,35,1965.1,1974.9,1969.8,1969.9,0.061239799,3.12E-03,8,1.21E-04,6.38E-03,6,10.2,7.5,7.7,0.010206633,0.006003902,0.008165307,0.007953221,
1.74444,35-36,36,1963.9,1973.1,1968.4,1968.4,0.061239799,3.12E-03,8,1.21E-04,6.38E-03,6,10.2,7.5,7.7,0.010206633,0.006003902,0.008165307,0.007953221,
1.36348,36-37,37,1962.8,1971.1,1966.9,1967,0.061239799,3.12E-03,8,1.21E-04,6.38E-03,6,10.2,7.5,7.7,0.010206633,0.006003902,0.008165307,0.007953221,
1.57498,37-38,38,1961.6,1969,1965.4,1965.4,0.061239799,3.12E-03,8,1.21E-04,6.38E-03,6,10.2,7.5,7.7,0.010206633,0.006003902,0.008165307,0.007953221,
1.31897,38-39,39,1960.4,1966.8,1963.9,1963.8,0.061239799,3.12E-03,8,1.21E-04,6.38E-03,6,10.2,7.5,7.7,0.010206633,0.006003902,0.008165307,0.007953221,
1.159505,39-40,40,1959.1,1964.7,1962.3,1962.2,0.061239799,3.12E-03,8,1.21E-04,6.38E-03,6,10.2,7.5,7.7,0.010206633,0.006003902,0.008165307,0.007953221,40
NA,NA,40,1959.1,1964.7,1962.3,1962.2,0.044334409,1.15E-04,9,3.65E-05,2.46E-04,9.2,9.9,10.1,10,0.004818958,0.004478223,0.004389545,0.004433441,
1.24479,40-41,41,1957.1,1962.8,1960.4,1960.3,0.044334409,1.15E-04,9,3.65E-05,2.46E-04,9.2,9.9,10.1,10,0.004818958,0.004478223,0.004389545,0.004433441,
0.88908,41-42,42,1955.3,1961.1,1958.4,1958.3,0.044334409,1.15E-04,9,3.65E-05,2.46E-04,9.2,9.9,10.1,10,0.004818958,0.004478223,0.004389545,0.004433441,
0.92753,42-43,43,1953.3,1959.2,1956.3,1956.3,0.044334409,1.15E-04,9,3.65E-05,2.46E-04,9.2,9.9,10.1,10,0.004818958,0.004478223,0.004389545,0.004433441,
0.95379,43-44,44,1951.6,1956.9,1954.3,1954.3,0.044334409,1.15E-04,9,3.65E-05,2.46E-04,9.2,9.9,10.1,10,0.004818958,0.004478223,0.004389545,0.004433441,
1.048594706,interpolated,44.94117647,1950,--,--,--,0.044334409,1.15E-04,9,3.65E-05,2.46E-04,9.2,9.9,10.1,10,0.004818958,0.004478223,0.004389545,0.004433441,
1.05452,44-45,45,1949.9,1954.8,1952.2,1952.2,0.044334409,1.15E-04,9,3.65E-05,2.46E-04,9.2,9.9,10.1,10,0.004818958,0.004478223,0.004389545,0.004433441,45
0.95522,45-46,45,1949.9,1954.8,1952.2,1952.2,NA,NA,10,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,
NA,NA,46,1946.7,1953.3,1950.3,1950.2,NA,NA,10,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,
0.958534737,interpolated,46.10526316,--,--,1950,1950,NA,NA,10,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,
0.92373,46-47,47,1943.8,1952.1,1948.5,1948.3,NA,NA,10,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,
0.86842,47-48,48,1941,1950.9,1946.7,1946.5,NA,NA,10,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,
0.779153846,interpolated,48.69230769,--,1950,--,--,NA,NA,10,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,
0.73948,48-49,49,1938.2,1949.6,1944.9,1944.7,NA,NA,10,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,