Sample ID,Type,Top,Bottom,width,plot,D10 (mm):,D50 (mm):,D90 (mm):,(D90 / D10) (mm):,(D90 - D10) (mm):,(D75 / D25) (mm):,(D75 - D25) (mm):,D10 (f):,D50 (f):,D90 (f):,(D90 / D10) (f):,(D90 - D10) (f):,(D75 / D25) (f):,(D75 - D25) (f):,GRAVEL_Perc,SAND_Perc,MUD_Perc,Perc_VCOARSEGRAVEL,Perc_COARSEGRAVEL,Perc_MEDIUMGRAVEL,Perc_FGRAVEL,Perc_VFGRAVEL,Perc_VCOARSESAND,Perc_COARSESAND,Perc_MSAND,Perc_FSAND,Perc_VFSAND,Perc_VCOARSESILT,Perc_COARSESILT,Perc_MEDIUMSILT,Perc_FSILT,Perc_VFSILT,Perc_CLAY,Wet mass (g),Dry mass (g),Dry BD (g/mL),Dry BD (kg/m3),Water content (g),Organic matter (g),% OM LOI
UNB-1-1-0-1,N,0,1,1,0.5,0.903864178,5.125042525,36.00484232,39.83435033,35.10097815,6.614801854,11.401192,4.795665241,7.608220309,10.11160638,2.108488786,5.315941141,1.438341342,2.725697941,0,0.056655052,0.943344948,0,0,0,0,0,0,0,0.000377769,0.018176626,0.038100657,0.057095745,0.109516491,0.153388568,0.203816965,0.178222091,0.241305088,1.46281,0.31409,0.31409,314.09,1.14872,0.14206,45.22907447
UNB-1-1-1-2,N,1,2,1,1.5,1.173300774,8.055590717,53.98009028,46.00703542,52.80678951,7.415634751,18.93360189,4.2114288,6.955793899,9.735211391,2.311617233,5.523782591,1.524230567,2.890570187,0,0.085490824,0.914509176,0,0,0,0,0,0,0,0.001596254,0.033428104,0.050466467,0.091535422,0.153466186,0.177889511,0.180147066,0.137623111,0.173847879,2.07699,0.41291,0.41291,412.91,1.66408,0.22416,54.28785934
UNB-1-1-2-3,N,2,3,1,2.5,1.225788144,8.344426317,59.98577396,48.93649384,58.75998582,7.526420554,19.90783657,4.059235794,6.904971418,9.672074628,2.382732889,5.612838835,1.534810892,2.911963905,0,0.096383994,0.903616006,0,0,0,0,0,0,0,0.001266542,0.037695373,0.057422079,0.091208608,0.155739777,0.174404932,0.1780738,0.136734921,0.167453968,1.41421,0.25802,0.25802,258.02,1.15619,0.13113,50.82164173
UNB-1-1-3-4,N,3,4,1,3.5,1.244141193,8.899365686,70.07713131,56.3257062,68.83299012,7.498219116,21.07258884,3.834912472,6.812081775,9.650634064,2.516520034,5.815721592,1.542065666,2.906547985,0,0.109168925,0.890831075,0,0,0,0,0,0,0,0.000954196,0.044294109,0.06392062,0.093736706,0.151325314,0.181151863,0.174953761,0.129122693,0.160540739,1.25873,0.25157,0.25157,251.57,1.00716,0.09745,38.73673331
UNB-1-1-4-5,N,4,5,1,4.5,1.132815524,7.68027112,49.48566985,43.68378504,48.35285432,7.307741766,18.03196612,4.336845382,7.024627045,9.785871343,2.256449211,5.449025961,1.514142085,2.869425654,0,0.07199125,0.92800875,0,0,0,0,0,0,0,0.000384307,0.016369852,0.055237091,0.096716411,0.147871778,0.178654235,0.185167876,0.14034062,0.179257831,1.70827,0.38471,0.38471,384.71,1.32356,0.13626,35.41888695
UNB-1-1-5-6,N,5,6,1,5.5,1.746008862,15.165273,63.37028303,36.29436506,61.62427416,6.887469934,30.29911832,3.980049731,6.04308472,9.161723403,2.301911791,5.181673672,1.577797287,2.783974116,0,0.102835873,0.897164127,0,0,0,0,0,0,0,2.19E-05,0.018577831,0.08423615,0.184617245,0.204647734,0.170944265,0.135306417,0.090459636,0.11118883,1.40266,0.75591,0.75591,755.91,0.64675,0.06554,8.670344353
UNB-1-1-6-7,N,6,7,1,6.5,3.065825291,29.78398569,90.10645678,29.39060391,87.04063149,5.042249789,44.41232743,3.4722257,5.069319362,8.349508798,2.404656125,4.877283098,1.559193799,2.33406759,0,0.204145768,0.795854232,0,0,0,0,0,0,0,0.000488303,0.046963217,0.156694249,0.277859045,0.203554943,0.115161127,0.078560214,0.051997703,0.068721199,2.10196,1.22115,1.22115,1221.15,0.88081,0.09482,7.764811858
UNB-1-1-7-8,N,7,8,1,7.5,2.629582956,32.60273224,100.371719,38.17020444,97.74213607,6.050077955,50.95848866,3.316575266,4.938863317,8.570950274,2.584277331,5.254375009,1.643784671,2.596953731,0,0.240708067,0.759291933,0,0,0,0,0,0,0,0.000772916,0.05761651,0.182318641,0.273144037,0.168313989,0.102750152,0.079924723,0.056993021,0.07816601,1.56397,0.86769,0.86769,867.69,0.69628,0.069952,8.061865413
UNB-1-1-8-9,N,8,9,1,8.5,1.359995942,9.499830828,55.80046232,41.02987412,54.44046637,6.942379873,20.88790468,4.163579115,6.717882462,9.522181938,2.287018374,5.358602823,1.52184716,2.795430309,0,0.085304172,0.914695828,0,0,0,0,0,0,0,0.001384536,0.023314953,0.060604683,0.110834067,0.169936675,0.18833311,0.173269968,0.124739171,0.147582837,2.09434,0.60635,0.60635,606.35,1.48799,0.16785,27.68203183
UNB-1-1-9-10,N,9,10,1,9.5,1.161750289,7.027639964,30.17806255,25.97637618,29.01631226,5.38290899,12.62447623,5.050356003,7.152744003,9.74948428,1.930454858,4.699128277,1.403981261,2.428386034,0,0.032472995,0.967527005,0,0,0,0,0,0,0,1.81E-06,0.006432653,0.026038529,0.062473918,0.152892029,0.217212799,0.211408483,0.14866317,0.174876606,2.35745,0.95065,0.95065,950.65,1.4068,0.15247,16.03849997
UNB-1-1-10-11,N,10,11,1,10.5,1.205802253,7.018321916,27.99453901,23.21652572,26.78873676,5.313278043,12.56414257,5.158710767,7.154658162,9.695790955,1.87949885,4.537080188,1.400683706,2.409602211,0,0.022023951,0.977976049,0,0,0,0,0,0,0,0,0.004333078,0.017690873,0.061637824,0.163730113,0.216764496,0.214259389,0.14964575,0.171938476,1.74709,0.760695,0.760695,760.695,0.986395,0.09274,12.18364687
UNB-1-1-11-12_2,N,11,12,1,11.5,1.193427989,7.086906926,46.29924042,38.79516891,45.10581243,6.364557828,15.34902735,4.432867665,7.140628183,9.710672767,2.190607413,5.277805102,1.462019454,2.670060288,0,0.070385659,0.929614341,0,0,0,0,0,0,0,0.000131827,0.025132084,0.045121749,0.075412754,0.137801622,0.186459922,0.204007921,0.151868688,0.174063433,1.73277,0.48572,0.48572,485.72,1.24705,0.11952,24.60676933
UNB-1-1-12-13_2,N,12,13,1,12.5,1.087855012,6.364143554,38.36540211,35.26701785,37.2775471,6.020961651,13.02056618,4.704050314,7.295817906,9.844297996,2.092728041,5.140247683,1.431591293,2.589993928,0,0.056523978,0.943476022,0,0,0,0,0,0,0,0.000185765,0.019155314,0.037182899,0.065300443,0.128019246,0.185275813,0.212774273,0.159646687,0.192459561,1.16241,0.30122,0.30122,301.22,0.86119,0.08707,28.90578315
UNB-1-1-13-14,N,13,14,1,13.5,1.201808978,7.425810807,46.81381897,38.95279518,45.61200999,6.714231767,16.85771543,4.416921728,7.073235726,9.70057668,2.196230152,5.283654952,1.485565048,2.747222338,0,0.067878046,0.932121954,0,0,0,0,0,0,0,0.000181401,0.022547897,0.045148748,0.088928635,0.147368044,0.180994605,0.19749192,0.147192808,0.170145943,1.70465,0.63729,0.63729,637.29,1.06736,0.09695,15.21285443
UNB-1-1-14-15,N,14,15,1,14.5,2.085369062,18.58167596,67.56551595,32.3997882,65.48014689,6.202226969,32.69706476,3.887569077,5.749975559,8.905481555,2.290758409,5.017912477,1.562436425,2.632786322,0,0.116318573,0.883681427,0,0,0,0,0,0,0,0.001074614,0.020976164,0.094267795,0.207450009,0.225827312,0.1588717,0.118504516,0.079069079,0.09395881,2.20181,1.32123,1.32123,1321.23,0.88058,0.08621,6.524980511
UNB-1-1-15-16,N,15,16,1,15.5,3.553034596,37.80865099,105.8599297,29.79422994,102.3068951,4.426030571,51.29061606,3.239771493,4.725139815,8.136732548,2.511514335,4.896961055,1.548055557,2.146013416,0,0.274577036,0.725422964,0,0,0,0,0,0,0,0.001440457,0.06433013,0.208806449,0.297343846,0.171281845,0.089230677,0.060783615,0.04276187,0.064021112,1.78602,1.17675,1.17675,1176.75,0.60927,0.05579,4.741024007
UNB-1-1-16-17,N,16,17,1,16.5,1.606063475,15.07206624,77.55237641,48.28724244,75.94631293,9.144483233,36.62493183,3.6886852,6.051978979,9.282255372,2.516412995,5.593570172,1.69351329,3.192901644,0,0.141554367,0.858445633,0,0,0,0,0,0,0,0.001312165,0.035046738,0.105195465,0.181314252,0.16979695,0.144820633,0.138113136,0.102179183,0.12222148,1.46621,0.56384,0.56384,563.84,0.90237,0.08863,15.7189983
UNB-1-1-17-18,N,17,18,1,17.5,1.571282421,11.79814812,52.63478951,33.49798153,51.06350709,6.36374281,22.93551532,4.247839511,6.405295763,9.313841772,2.192606794,5.066002262,1.513473407,2.66987553,0,0.07561037,0.92438963,0,0,0,0,0,0,0,0.000213032,0.021807022,0.053590316,0.136468366,0.208189649,0.190919194,0.156337018,0.107277983,0.12519742,1.81875,0.71965,0.71965,719.65,1.0991,0.10289,14.29722782
UNB-1-1-18-19,N,18,19,1,18.5,1.42128308,10.67886798,50.75902016,35.71351892,49.33773708,6.282279304,20.93707033,4.30019197,6.549097468,9.458590357,2.199573978,5.158398387,1.497645036,2.651288085,0,0.073880601,0.926119399,0,0,0,0,0,0,0.002863732,0.005605279,0.018482858,0.046928732,0.117342966,0.198926946,0.197569162,0.165222057,0.110291154,0.136767115,1.84108,0.63865,0.63865,638.65,1.20243,0.14171,22.18899241
UNB-1-1-19-20,N,19,20,1,19.5,2.551709354,24.86921906,197.8685295,77.54352161,195.3168201,14.36547146,103.8873131,2.337385922,5.329494985,8.614320272,3.685450568,6.276934351,2.215542057,3.844533437,0,0.339311758,0.660688242,0,0,0,0,0,0,0,0.04218531,0.179943948,0.117182501,0.114459614,0.153116744,0.142160743,0.108184205,0.06282012,0.079946816,1.4941,0.56337,0.56337,563.37,0.93073,0.10716,19.02124714
UNB-1-1-20-21,N,20,21,1,20.5,1.476798337,11.08603531,48.22440703,32.65470025,46.74760869,6.337114241,21.48989003,4.374092691,6.495112682,9.403311451,2.149774162,5.02921876,1.503327401,2.663826024,0,0.062148252,0.937851748,0,0,0,0,0,0,0,0.001469467,0.011960666,0.048718119,0.131979604,0.205573743,0.196960554,0.159314197,0.110887449,0.133136202,2.19121,1.12356,1.12356,1123.56,1.06765,0.10183,9.063156396
UNB-1-1-21-22,N,21,22,1,21.5,1.538407961,11.99817829,56.36141048,36.63619268,54.82300252,7.262043477,25.6821988,4.149148473,6.381040815,9.344346151,2.252111779,5.195197678,1.56424949,2.860375567,0,0.083216893,0.916783107,0,0,0,0,0,0,0,0.000326936,0.019608335,0.063281623,0.153848393,0.196625893,0.172446433,0.153425194,0.111624426,0.128812769,1.96211,1.11761,1.11761,1117.61,0.8445,0.07922,7.088340298
UNB-1-1-22-23,N,22,23,1,22.5,1.487028044,11.47906673,99.6593502,67.01914641,98.17232216,10.83428401,37.6306915,3.326851022,6.444850837,9.393352429,2.823496564,6.066501407,1.748553217,3.43753191,0,0.173581659,0.826418341,0,0,0,0,0,0,0,0.003597081,0.064974243,0.105010335,0.126432383,0.13619498,0.152656033,0.156940251,0.119015281,0.135179413,1.57155,0.74484,0.74484,744.84,0.82671,0.0646,8.673003598
UNB-1-1-23-24,N,23,24,1,23.5,3.252436201,44.4897785,155.1502262,47.70277313,151.89779,6.384159013,74.52913216,2.688262295,4.490382274,8.264263527,3.07420282,5.576001233,1.764081593,2.674496586,0,0.374254832,0.625745168,0,0,0,0,0,0,0.003075001,0.017812809,0.12997263,0.223394391,0.227619356,0.131866486,0.083624013,0.067627211,0.050222244,0.064785857,1.95216,1.11962,1.11962,1119.62,0.83254,0.06664,5.952019435
UNB-1-1-24-25,N,24,25,1,24.5,7.171503987,68.40204065,191.7472195,26.73737892,184.5757156,4.472399442,101.7022494,2.382722437,3.869816824,7.123508576,2.989651025,4.740786139,1.736940578,2.161049045,0,0.533029611,0.466970389,0,0,0,0,0,0,0.003148324,0.031418552,0.234764616,0.263698119,0.203908623,0.102395303,0.055177123,0.038705346,0.027410157,0.039373836,2.07945,1.35519,1.35519,1355.19,0.72426,0.07655,5.648654432
UNB-1-1-25-26,N,25,26,1,25.5,6.970462773,54.1020001,154.5742972,22.17561477,147.6038344,3.786422489,73.07208509,2.693627649,4.20817426,7.164529844,2.659807062,4.470902195,1.576461412,1.920835396,0,0.436392783,0.563607217,0,0,0,0,0,0,0,0.008032139,0.16000792,0.268352723,0.269167672,0.12879574,0.058328661,0.038606713,0.027597899,0.041110531,2.46841,1.76962,1.76962,1769.62,0.69879,0.05239,2.960522598
UNB-1-1-26-27,N,26,27,1,26.5,5.553401893,56.4668697,167.4288149,30.14887417,161.875413,4.325072183,82.59320283,2.578380255,4.146451534,7.492412479,2.905860168,4.914032224,1.656432427,2.112724211,0,0.45883172,0.54116828,0,0,0,0,0,0,0.00090525,0.017245402,0.177413913,0.263267156,0.240932246,0.116714445,0.060224315,0.04394205,0.031730813,0.047624411,2.08611,1.33278,1.33278,1332.78,0.75333,0.0831,6.235087561
UNB-1-1-27-28,N,27,28,1,27.5,9.414632868,65.58523051,153.6636298,16.32178673,144.2489969,3.163117336,73.31136137,2.702152357,3.930485227,6.730879448,2.490932619,4.028727091,1.515692575,1.661347074,0,0.523941458,0.476058542,0,0,0,0,0,0,0,0.004273195,0.175552612,0.34411565,0.2447249,0.096770055,0.045025189,0.031850248,0.02215346,0.03553469,2.48837,1.75093,1.75093,1750.93,0.73744,0.06687,3.819113271
UNB-1-1-28-29,N,28,29,1,28.5,13.77162854,76.57861379,159.034892,11.54800913,145.2632635,2.303621577,62.88633825,2.652584769,3.706914645,6.182157017,2.330616193,3.529572248,1.379812596,1.20390374,0,0.631371805,0.368628195,0,0,0,0,0,2.08E-05,0.003183049,0.017653152,0.168899647,0.441615138,0.210027982,0.053013648,0.027016621,0.022170113,0.018225747,0.038174083,2.4591,1.9204,1.9204,1920.4,0.5387,0.03083,1.605394709
UNB-1-1-29-30,N,29,30,1,29.5,13.60867846,69.27456709,129.8866555,9.544398889,116.2779771,2.273788792,54.91555084,2.944674878,3.8515304,6.199329217,2.105267805,3.254654339,1.35369001,1.185098251,0,0.569417713,0.430582287,0,0,0,0,0,0,0,0.000956974,0.11477819,0.453682548,0.256834071,0.066661915,0.029987036,0.022241918,0.017387997,0.03746935,2.54342,1.934765,1.934765,1934.765,0.608655,0.057145,2.956208594
UNB-1-1-30-31,N,30,31,1,30.5,3.031583693,40.18020314,110.397913,36.41592125,107.3663293,4.723404744,54.94291568,3.179215196,4.637371332,8.365712633,2.631376651,5.186497438,1.582875757,2.239827164,0,0.297821136,0.702178864,0,0,0,0,0,0,0,0.003553533,0.070199924,0.224067679,0.291842914,0.152432288,0.080668116,0.059203898,0.045931692,0.072099956,2.39076,1.65674,1.65674,1656.74,0.73402,0.07558,4.5619711
UNB-1-1-31-32,N,31,32,1,31.5,1.893738974,18.71427227,66.73332083,35.23892243,64.83958185,6.674924313,33.20882874,3.905448892,5.739717242,9.044546796,2.315878929,5.139097904,1.585436103,2.738751478,0,0.112571392,0.887428608,0,0,0,0,0,0,0,0.000307912,0.026382051,0.085881428,0.215816489,0.221458107,0.148239128,0.115306758,0.083562149,0.103045976,2.50317,1.58157,1.58157,1581.57,0.9216,0.08924,5.642494483
UNB-1-1-32-33,N,32,33,1,32.5,1.302852915,8.558472743,41.194609,31.61877179,39.89175609,6.590313279,18.1887948,4.601400641,6.868430914,9.584110064,2.082867981,4.982709423,1.490737233,2.720347047,0,0.044716029,0.955283971,0,0,0,0,0,0,0,0,0.002925006,0.041791023,0.108799029,0.185545385,0.186485037,0.183425259,0.134807065,0.156222196,2.20926,1.12457,1.12457,1124.57,1.08469,0.08507,7.564669162
UNB-1-1-33-34,N,33,34,1,33.5,1.156502233,5.81751007,24.50892518,21.19228522,23.35242294,5.169553491,10.46954811,5.350548973,7.425382482,9.756016233,1.823367337,4.405467261,1.378146917,2.370039676,0,0.010455155,0.989544845,0,0,0,0,0,0,0,0,0.000700109,0.009755046,0.054322262,0.140125129,0.198506112,0.223435465,0.181057164,0.192098714,2.49824,1.37695,1.37695,1376.95,1.12129,0.12567,9.126693053
UNB-1-1-34-35,N,34,35,1,34.5,1.217099578,5.892133621,27.30073445,22.43097848,26.08363487,4.959063979,10.32788166,5.194916426,7.406994137,9.682337076,1.863809979,4.48742065,1.368290702,2.310067838,0,0.040047153,0.959952847,0,0,0,0,0,0,0,5.20E-06,0.014468541,0.025573415,0.044267129,0.123993283,0.193912111,0.234160508,0.180225121,0.183394695,2.18969,1.1532,1.1532,1153.2,1.03649,0.11885,10.30610475
UNB-1-1-35-36,N,35,36,1,35.5,1.167266995,6.467089558,44.7007917,38.29525883,43.53352471,6.329710126,14.08573335,4.483555806,7.272667695,9.742649691,2.172973888,5.259093884,1.451092395,2.662139432,0,0.070258889,0.929741111,0,0,0,0,0,0,0,0.001644879,0.02925712,0.039356889,0.068241562,0.12578547,0.178386551,0.207128836,0.164767945,0.185430745,2.93642,1.74444,1.74444,1744.44,1.19198,0.15446,8.854417463
UNB-1-1-36-37,N,36,37,1,36.5,1.195853547,6.762607506,44.65359182,37.34035152,43.45773827,6.838655844,15.92162652,4.485079963,7.208204661,9.707743567,2.164452729,5.222663604,1.482822148,2.773712788,0,0.063523025,0.936476975,0,0,0,0,0,0,0,0.001629695,0.022552537,0.039340793,0.081873276,0.142637238,0.170252734,0.20062971,0.161462785,0.179621232,2.40167,1.36348,1.36348,1363.48,1.03819,0.11369,8.338222783
UNB-1-1-37-38,N,37,38,1,37.5,1.183077005,8.123097444,53.91730545,45.57379211,52.73422845,7.703356471,19.4386858,4.213107791,6.943754334,9.723240305,2.307854626,5.510132514,1.537074082,2.945487187,0,0.084202935,0.915797065,0,0,0,0,0,0,0,0.003133777,0.031678035,0.049391122,0.091856604,0.161538358,0.172663989,0.174647412,0.139509887,0.175580814,2.63657,1.57498,1.57498,1574.98,1.06159,0.1576,10.00647627
UNB-1-1-38-39,N,38,39,1,38.5,1.006108873,6.354702746,38.89687231,38.66069903,37.89076344,7.314781985,14.80281147,4.684202037,7.297959643,9.956997855,2.12565508,5.272795818,1.489407146,2.870814866,0,0.053085104,0.946914896,0,0,0,0,0,0,0,9.44E-05,0.02027169,0.032718985,0.074340168,0.143292767,0.172885889,0.185951967,0.158130469,0.212313637,2.5199,1.31897,1.31897,1318.97,1.20093,0.12655,9.594607914
UNB-1-1-39-40,N,39,40,1,39.5,0.979620284,5.462137771,35.54164605,36.28104342,34.56202576,6.510562226,11.93070518,4.814345691,7.516318581,9.995489733,2.076188619,5.181144042,1.439577247,2.702782134,0,0.052861148,0.947138852,0,0,0,0,0,0,0,0.000577302,0.021387002,0.030896844,0.059802889,0.117813889,0.163794291,0.203950161,0.17484996,0.226927662,2.178165,1.159505,1.159505,1159.505,1.01866,0.11384,9.828653337
UNB-1-1-40-41,N,40,41,1,40.5,1.013028403,5.346905441,29.70882966,29.32674894,28.69580125,5.550713048,10.22738186,5.072964417,7.547080122,9.94710966,1.960808088,4.874145243,1.390946423,2.472673113,0,0.044607194,0.955392806,0,0,0,0,0,0,0,8.28E-05,0.01620826,0.028316091,0.050409756,0.108546268,0.174361697,0.221722414,0.182273818,0.218078855,2.2343519,1.24479,1.24479,1244.79,0.9895619,0.27439,22.04307554
UNB-1-1-41-42,N,41,42,1,41.5,1.055906024,4.92562705,25.64101395,24.28342426,24.58510793,5.172334402,9.239171414,5.285402877,7.665476888,9.887302845,1.87068102,4.601899968,1.367678888,2.370815551,0,0.028736121,0.971263879,0,0,0,0,0,0,0,0,0.001874325,0.026861796,0.045700292,0.116111012,0.167832439,0.214677693,0.209981893,0.21696055,1.70239,0.88908,0.88908,889.08,0.81331,0.09296,10.45575201
